method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5125,600.1998960971832,13,1,57,226,253,247,93.27129786166752,85.06438496241576,38.33170319622551,0.35574513873810737,0.4992485882719288,0.048032721294014494,12,desktop
DIRECT [ML],205,0.331,0.0621800422668457,42,14,42,212,240,212,160.0,70.0,14.666666666666668,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ML],252,0.2238,0.07566618919372559,47,4,136,221,211,127,238.00576604935844,83.43144587913467,29.505314206081373,0.4213899485435183,0.4380453451434506,0.046588351626924096,12,desktop
