method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ORACLE],200,0.3605,180.27233219146729,56,55,255,255,255,87,300.0,120.0,9.564717161506518,1.0,0.39167139778203797,0.1395848445127581,12,desktop
DIRECT [ORACLE],251,0.3365,0.032595157623291016,127,42,127,127,212,127,160.0,103.33333333333333,39.85185185185185,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ORACLE],252,0.2012,0.02891993522644043,116,250,78,59,57,235,138.57340616942275,75.84997606694533,33.971612026989696,0.5462685330119739,0.39611501602058224,0.03258402095451296,12,desktop
