method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
DIRECT [ORACLE],201,0.3526,0.02561211585998535,127,42,127,127,212,127,160.0,103.33333333333333,41.33333333333333,0.9444444444444444,0.41666666666666663,0.16666666666666669,12,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.2686,209.51538109779358,0,255,56,140,0,17,94.84049908217212,90.60773375212192,36.53872788487209,1.0,0.5,0.0,12,desktop
Differential Evolution [ORACLE],252,0.2654,0.028744935989379883,16,34,238,251,175,6,102.09613342347663,72.3216508590677,27.247895002804746,0.4768593310826813,0.39350817388388465,0.06434311000061199,12,desktop
