method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
DIRECT,217,0.3479,0.03841042518615723,127,212,127,127,42,127,159.5,89.99999999999999,28.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Bayesian Optimisation (GP),200,0.3252,203.62962007522583,240,241,177,56,57,92,144.02248218377542,114.37819038329837,31.744865980978034,0.9628269488716299,0.48466811559760586,0.10044524228615617,12,desktop
Differential Evolution,252,0.2735,0.02930903434753418,164,205,128,102,48,154,126.82003521740765,76.09171621523642,28.62093079103601,0.5642942904379333,0.4581135078300432,0.16261154265884653,12,desktop
