method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.7344,234.24666380882263,255,255,255,0,0,0,256.40019344185066,87.45034738984396,10.0,1.0,0.5,0.0,0.0,desktop
DIRECT [ORACLE],213,0.355,0.03276681900024414,127,42,127,127,212,127,160.0,100.0,28.0,0.9444444444444444,0.4722222222222222,0.16666666666666669,11.5,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3365,235.4780101776123,0,24,191,255,194,0,159.60594199614974,80.93176700158922,15.80076453841431,1.0,0.39708574657333523,0.07748993899536376,13.585173647437594,desktop
DIRECT [ML],209,0.2873,0.05117988586425781,212,240,212,42,42,42,243.99999999999997,70.0,16.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,11.5,desktop
Differential Evolution [ORACLE],273,0.23,0.037355899810791016,109,219,189,100,17,77,121.81351497237392,87.22969577922258,16.74486995378033,0.40732938525731643,0.42788930628790395,0.14095935103019763,13.515014712927133,desktop
Differential Evolution [ML],273,0.2168,0.06827092170715332,26,3,45,92,239,81,47.376175246549266,88.22633691902935,37.38128036717241,0.6211542607653296,0.15623427167586734,0.0660655536041399,18.58392558295349,desktop
