method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.6996,254.4729881286621,0,0,0,255,255,255,286.0,115.0,46.0,1.0,0.5,0.0,23.0,desktop
DIRECT [ORACLE],223,0.325,0.032820940017700195,127,212,127,127,42,127,160.0,100.0,40.0,0.8333333333333333,0.41666666666666663,0.05555555555555558,11.5,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3247,232.9397110939026,255,255,54,36,29,255,213.5181495891629,114.6958955276748,12.794797321574073,1.0,0.39418503811466266,0.10738342844015532,12.62253143214919,desktop
DIRECT [ML],207,0.2545,0.057086944580078125,42,14,42,212,212,212,243.99999999999997,70.0,28.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,11.5,desktop
Differential Evolution [ORACLE],273,0.21,0.03691911697387695,0,43,187,243,244,144,111.35452594634799,88.85333507710556,15.842294413007346,0.20763023189555996,0.4393206222875692,0.12703710826065806,22.074696012307328,desktop
Differential Evolution [ML],273,0.1786,0.07631206512451172,161,203,124,0,21,33,269.43736118126077,72.00562986975295,26.023673621112604,0.36835347936094776,0.3880501698505444,0.04889768640313963,0.43805187731926765,desktop
