method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.66,226.1630380153656,255,255,202,0,0,0,286.0,25.0,10.0,0.0,0.5,0.0,9.888408926642528,desktop
DIRECT [ML],227,0.3248,0.053427934646606445,42,14,42,212,240,212,159.5,70.0,28.0,0.5,0.41666666666666663,0.16666666666666669,11.5,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3247,202.90947103500366,0,0,188,230,255,0,165.09390255192676,115.0,46.0,0.9216304997719867,0.48741853708266847,0.14283197455232954,18.9807992969426,desktop
DIRECT [ORACLE],225,0.3005,0.030476093292236328,127,42,127,127,240,127,159.5,70.0,28.0,0.9444444444444444,0.25,0.16666666666666669,11.5,desktop
Differential Evolution [ORACLE],273,0.2761,0.03382229804992676,164,213,134,9,7,204,87.91047591464643,71.79541742512194,25.901469095143387,0.747276005193348,0.442147162319894,0.1618801423605118,10.807524828349479,desktop
Differential Evolution [ML],273,0.2277,0.06687378883361816,244,240,15,80,12,68,172.97937685003214,96.88714359737858,12.022584112503514,0.16220782455211147,0.2900252093090334,0.11148148089850562,19.220938277892394,desktop
