method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5757,212.59750986099243,0,255,255,0,0,0,34.0,25.0,10.0,1.0,0.5,0.0,0.0,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3491,183.99962782859802,44,7,200,255,255,109,146.7572927864124,97.81004054199812,29.166887335390093,1.0,0.4824282353335903,0.0903488872110848,12.902213677706918,desktop
Differential Evolution [ML],273,0.3303,0.06367778778076172,19,10,34,173,250,254,36.50802301280892,65.72103358409423,36.912579064547224,0.27176420459184936,0.48334306291540635,0.19204208735941175,12.376481802336276,desktop
DIRECT [ORACLE],225,0.3275,0.030872106552124023,127,42,127,127,212,127,160.0,110.94444444444444,40.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,19.166666666666664,desktop
DIRECT [ML],207,0.2628,0.049178123474121094,42,14,42,212,212,212,160.0,70.5,16.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,11.5,desktop
Differential Evolution [ORACLE],273,0.1709,0.03176617622375488,8,10,206,223,227,90,140.8761803613763,64.43873374935741,19.426677138463578,0.2653192927425913,0.4851814152556375,0.23735969583163213,8.230688491416092,desktop
