method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5174,229.49679803848267,253,249,197,1,3,23,53.972310433510835,84.84230700879114,27.645554993983584,0.679407468319904,0.4593049647076122,0.1147986626570218,19.271423896865397,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3399,235.03081393241882,218,255,0,0,0,129,155.59200109733416,96.77695438438792,24.75670621169353,1.0,0.5,0.12154113573877114,23.0,desktop
DIRECT [ORACLE],225,0.3268,0.02997112274169922,127,212,127,127,42,127,159.5,100.0,40.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,11.5,desktop
DIRECT [ML],207,0.2609,0.050215959548950195,212,240,212,42,42,42,159.5,70.0,28.0,0.8333333333333333,0.41666666666666663,0.16666666666666669,19.166666666666664,desktop
Differential Evolution [ORACLE],273,0.2441,0.03356599807739258,16,50,8,233,151,227,136.27882193467445,77.6910061975271,25.003345510673086,0.7219978297429867,0.4000747959237532,0.03332798103736112,16.730152375011613,desktop
Differential Evolution [ML],273,0.1474,0.07401299476623535,55,28,147,218,232,97,193.35827080316284,96.28442594712091,44.14098379932,0.6303610528894656,0.1936718342389241,0.0727281097284328,2.0711567061157723,desktop
