method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5497,181.3726568222046,0,0,0,255,255,0,300.0,120.0,8.0,1.0,0.0,0.0,12,desktop
DIRECT [ML],207,0.3896,0.06968379020690918,42,14,42,212,240,212,253.33333333333331,70.0,14.666666666666668,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ML],252,0.2326,0.07906198501586914,32,9,15,83,235,196,296.3423750140324,37.65477146920592,10.987869916277027,0.04255485024018657,0.15592490862550207,0.035733187690270896,12,desktop
