method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5078,219.41628003120422,156,255,139,0,0,0,114.71452121295808,28.693771235200934,13.50885183597666,0.8783126700444256,0.5,0.0,12,desktop
DIRECT [ML],207,0.3777,0.06110882759094238,212,240,212,42,14,42,253.33333333333331,103.33333333333333,41.33333333333333,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ML],252,0.1711,0.0763239860534668,0,12,65,89,232,130,54.61162159641697,77.94667106576273,44.73711743713497,0.7219140434988129,0.11821280021572508,0.13280596314423532,12,desktop
