method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
DIRECT [ORACLE],215,0.358,0.027424097061157227,127,42,127,127,212,127,128.88888888888889,70.0,14.666666666666668,0.9444444444444444,0.41666666666666663,0.16666666666666669,12,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.3365,177.93461990356445,10,22,105,205,160,36,257.3238038279775,119.68101317765571,23.365757212300583,0.924342987295005,0.4389449874874114,0.13903290141477156,12,desktop
Differential Evolution [ORACLE],252,0.2486,0.02960801124572754,242,239,147,71,40,183,289.3850107861986,90.68294888250733,34.3869578206068,0.9319862558956225,0.27532801298109866,0.07028628224555278,12,desktop
