method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ML],200,0.5635,178.1671359539032,0,0,0,255,254,95,231.54487596486314,47.139280827500315,8.0,0.7282093615486386,0.06854863094632008,0.0,12,desktop
DIRECT [ML],203,0.3192,0.05817866325378418,42,14,42,212,240,127,253.33333333333331,70.0,14.666666666666668,0.5,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ML],252,0.2568,0.06882905960083008,144,239,208,55,25,51,221.74078247341663,85.9930648045516,36.905891442778696,0.4705652837961544,0.2950261897563072,0.04952188709511457,12,desktop
