method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
Bayesian Optimisation (GP) [ORACLE],200,0.3479,183.83372330665588,168,255,255,102,0,0,149.14445355042736,76.65748209615091,28.027539441956996,1.0,0.3283614409581221,0.14086874555933007,12,desktop
DIRECT [ORACLE],225,0.3445,0.029186010360717773,127,240,127,127,42,127,160.0,103.33333333333333,41.33333333333333,0.9444444444444444,0.41666666666666663,0.16666666666666669,12,desktop
Differential Evolution [ORACLE],252,0.2666,0.030347108840942383,251,234,212,28,15,75,154.12033639097226,108.21933257974288,47.7373423303825,0.7671530845974173,0.4021546743095058,0.1899412564094991,12,desktop
