method,calls,best_ctr,runtime_sec,param_rgb_bg_r,param_rgb_bg_g,param_rgb_bg_b,param_rgb_text_r,param_rgb_text_g,param_rgb_text_b,param_btn_w,param_btn_h,param_font_size,param_text_quality,param_whitespace_ratio,param_scroll_to_button,param_hour,param_device
DIRECT [ORACLE],201,0.3394,0.025806903839111328,127,240,127,127,42,127,160.0,103.33333333333333,36.888888888888886,0.8333333333333333,0.41666666666666663,0.16666666666666669,12,desktop
Bayesian Optimisation (GP) [ORACLE],200,0.337,161.54611611366272,0,6,217,255,255,226,300.0,120.0,10.271974987829784,1.0,0.41451011169936675,0.030303417560853738,12,desktop
Differential Evolution [ORACLE],252,0.2548,0.02851700782775879,161,237,162,94,15,85,46.68113737709807,27.60106538723474,14.956965525754768,0.6884699978736863,0.40349658637424773,0.1715059432610827,12,desktop
